province,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
上海市,2015-01,80.21,103.23,27.56,57.8,1.07,33.45,110,三级
上海市,2015-02,60.67,80.13,18.44,39.87,0.88,52.62,87,二级
上海市,2015-03,48.27,62.22,14.35,40.98,0.77,67.34,71,二级
上海市,2015-04,50.15,70.62,16.35,43.34,0.77,78.56,73,二级
上海市,2015-05,35.69,51.26,11.09,29.34,0.6,84.76,57,二级
上海市,2015-06,38.02,51.62,10.58,29.95,0.61,84.39,60,二级
上海市,2015-07,34.06,46.35,10.44,25.88,0.56,81.95,54,二级
上海市,2015-08,36.69,49.9,11.07,23.68,0.62,85.07,58,二级
上海市,2015-09,32.19,45.15,12.37,27.82,0.64,91.82,54,二级
上海市,2015-10,43.9,65.08,15.06,41.5,0.73,75.4,66,二级
上海市,2015-11,53.98,64.49,16.06,49.03,0.98,38.32,78,二级
上海市,2015-12,79.75,100.61,24.68,59.21,1.13,26.41,111,三级
云南省,2015-01,32.79,44.45,11.95,9.6,0.75,54.88,48,一级
云南省,2015-02,32.09,42.07,7.86,7.96,0.66,65.23,47,一级
云南省,2015-03,39.78,55.24,7.78,9.82,0.71,75.45,57,二级
云南省,2015-04,27.81,41.79,7.97,7.09,0.51,73.36,43,一级
云南省,2015-05,24.33,35.23,7.34,5.38,0.42,76.22,40,一级
云南省,2015-06,15.2,20.34,4.93,4.15,0.32,55.39,29,一级
云南省,2015-07,22.91,31.2,8.07,5.38,0.38,61.58,36,一级
云南省,2015-08,19.95,27.52,7.57,5.11,0.39,49.97,30,一级
云南省,2015-09,21.03,29.82,8.06,5.15,0.42,47.93,32,一级
云南省,2015-10,25.91,35.5,9.97,5.91,0.48,56.89,38,一级
云南省,2015-11,20.29,28.92,8.5,7.18,0.53,51.21,31,一级
云南省,2015-12,25.96,36.52,10.06,8.01,0.6,51.77,39,一级
内蒙古自治区,2015-01,15.07,23.14,13.02,8.84,0.43,44.5,28,一级
内蒙古自治区,2015-02,17.25,26.07,11.12,6.56,0.38,52.97,35,一级
内蒙古自治区,2015-03,14.88,25.42,7.48,4.55,0.31,63.4,37,一级
内蒙古自治区,2015-04,20.33,28.64,4.59,3.81,0.26,69.38,40,一级
内蒙古自治区,2015-05,28.53,36.05,3.5,2.96,0.22,73.41,45,一级
内蒙古自治区,2015-06,23.26,29.98,4.71,3.25,0.25,77.78,42,一级
内蒙古自治区,2015-07,24.77,32.0,5.9,3.8,0.28,80.23,43,一级
内蒙古自治区,2015-08,20.0,26.23,4.95,3.82,0.25,68.98,36,一级
内蒙古自治区,2015-09,17.15,23.43,6.32,4.45,0.28,62.44,34,一级
内蒙古自治区,2015-10,15.6,21.99,6.34,5.72,0.29,56.04,33,一级
内蒙古自治区,2015-11,23.53,31.2,11.6,8.76,0.42,45.29,37,一级
内蒙古自治区,2015-12,21.31,29.02,12.88,10.21,0.48,42.62,35,一级
北京市,2015-01,71.42,90.96,28.89,45.64,1.44,28.54,97,二级
北京市,2015-02,68.28,87.92,24.04,33.8,1.15,42.92,97,二级
北京市,2015-03,65.49,108.18,20.04,35.92,0.94,56.55,98,二级
北京市,2015-04,53.5,80.29,10.66,27.51,0.62,77.86,78,二级
北京市,2015-05,48.37,74.54,10.0,22.21,0.58,97.09,72,二级
北京市,2015-06,51.5,67.77,8.18,19.56,0.84,96.68,78,二级
北京市,2015-07,51.87,75.84,7.41,20.24,0.73,103.83,76,二级
北京市,2015-08,38.17,60.71,5.24,19.35,0.63,91.61,61,二级
