province,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
上海市,2014-01,74.76,93.1,26.83,53.11,1.0,38.06,104,三级
上海市,2014-02,49.86,58.45,16.22,34.12,0.82,55.83,72,二级
上海市,2014-03,53.47,76.15,21.12,43.16,0.79,65.91,77,二级
上海市,2014-04,45.49,59.49,15.8,38.12,0.64,74.08,66,二级
上海市,2014-05,57.73,90.56,17.81,35.63,0.69,92.54,81,二级
上海市,2014-06,42.04,52.86,11.78,29.25,0.66,78.56,61,二级
上海市,2014-07,39.23,50.22,11.27,25.86,0.66,62.39,58,二级
上海市,2014-08,35.97,46.96,12.82,30.07,0.72,68.94,54,二级
上海市,2014-09,33.33,46.25,12.03,27.8,0.67,78.93,54,二级
上海市,2014-10,37.77,61.41,16.15,37.99,0.68,77.36,62,二级
上海市,2014-11,51.7,68.43,19.68,47.34,0.82,48.49,77,二级
上海市,2014-12,70.76,109.45,35.15,62.8,1.07,24.31,99,二级
云南省,2014-01,34.33,43.95,11.7,6.14,0.79,67.9,50,一级
云南省,2014-02,26.72,33.12,7.11,4.93,0.55,73.82,42,一级
云南省,2014-03,39.45,51.47,8.07,5.92,0.65,90.08,57,二级
云南省,2014-04,31.56,39.64,7.21,4.99,0.6,94.94,51,二级
云南省,2014-05,24.13,29.23,5.96,3.79,0.43,75.6,41,一级
云南省,2014-06,24.25,28.89,6.56,4.11,0.4,64.5,38,一级
云南省,2014-07,20.21,24.72,6.16,4.4,0.34,58.04,31,一级
云南省,2014-08,23.72,28.34,7.7,4.49,0.33,57.98,35,一级
云南省,2014-09,23.74,28.29,7.37,4.66,0.32,58.82,36,一级
云南省,2014-10,31.85,38.2,10.1,4.69,0.39,71.51,47,一级
云南省,2014-11,24.77,31.7,10.09,5.95,0.47,57.56,37,一级
云南省,2014-12,34.59,45.94,14.84,9.73,0.86,52.02,50,一级
内蒙古自治区,2014-01,12.01,18.38,13.25,7.17,0.4,44.11,26,一级
内蒙古自治区,2014-02,26.51,34.95,15.07,8.48,0.47,48.37,43,一级
内蒙古自治区,2014-03,14.84,22.15,8.42,4.65,0.31,61.09,35,一级
内蒙古自治区,2014-04,26.23,33.06,5.79,3.77,0.27,69.27,43,一级
内蒙古自治区,2014-05,31.04,37.07,4.05,2.99,0.22,74.12,49,一级
内蒙古自治区,2014-06,21.01,24.82,4.66,3.21,0.22,75.33,41,一级
内蒙古自治区,2014-07,21.94,26.43,6.01,3.45,0.24,78.93,42,一级
内蒙古自治区,2014-08,19.03,23.26,6.19,3.76,0.24,73.06,39,一级
内蒙古自治区,2014-09,19.65,25.6,7.17,4.8,0.28,63.49,35,一级
内蒙古自治区,2014-10,19.8,26.83,7.94,6.34,0.29,53.49,34,一级
内蒙古自治区,2014-11,15.35,22.9,11.39,7.78,0.36,48.35,31,一级
内蒙古自治区,2014-12,10.41,17.11,9.76,6.35,0.39,46.4,27,一级
北京市,2014-01,77.42,101.67,42.78,49.79,1.44,26.99,105,三级
北京市,2014-02,133.83,154.28,52.91,54.77,1.91,31.0,168,四级
北京市,2014-03,70.59,103.49,28.31,43.37,1.08,51.87,101,三级
北京市,2014-04,71.03,114.72,16.99,37.55,0.77,73.14,102,三级
北京市,2014-05,53.43,93.91,14.51,27.03,0.68,91.59,78,二级
北京市,2014-06,45.36,65.87,8.72,20.92,0.64,102.5,71,二级
北京市,2014-07,72.08,91.98,9.57,22.56,0.81,105.5,104,三级
北京市,2014-08,51.33,74.89,8.44,23.38,0.69,97.61,76,二级
北京市,2014-09,53.41,77.87,9.93,27.83,0.8,62.34,76,二级
北京市,2014-10,93.77,126.39,13.41,47.56,1.05,36.37,126,三级
北京市,2014-11,67.4,97.96,19.17,47.78,1.19,29.64,95,二级
北京市,2014-12,46.74,69.78,24.23,36.51,1.19,33.51,70,二级
台湾省,2014-01,21.2,25.8,7.23,17.18,0.28,57.96,38,一级
台湾省,2014-02,17.85,22.56,5.62,15.72,0.24,62.16,35,一级
台湾省,2014-03,23.13,28.01,6.5,16.15,0.24,69.36,39,一级
台湾省,2014-04,25.22,29.8,6.56,15.63,0.22,77.73,41,一级
台湾省,2014-05,20.01,23.08,5.73,15.95,0.17,60.82,34,一级
台湾省,2014-06,13.55,17.1,5.13,14.66,0.14,51.04,28,一级
台湾省,2014-07,9.3,12.28,4.64,13.87,0.12,41.18,22,一级
台湾省,2014-08,16.52,19.32,6.41,17.6,0.15,55.19,30,一级
台湾省,2014-09,17.74,20.94,6.49,16.76,0.15,63.56,33,一级
台湾省,2014-10,15.06,19.99,6.23,14.42,0.21,76.62,40,一级
台湾省,2014-11,17.28,21.93,7.08,16.96,0.24,62.54,36,一级
台湾省,2014-12,22.13,27.16,8.68,18.14,0.29,50.84,35,一级
吉林省,2014-01,46.67,58.7,18.91,19.95,0.75,39.0,65,二级
吉林省,2014-02,56.13,70.06,18.64,17.0,0.85,54.31,78,二级
吉林省,2014-03,34.54,46.93,12.7,12.56,0.57,60.81,50,一级
吉林省,2014-04,26.45,41.32,7.87,10.46,0.39,70.34,45,一级
吉林省,2014-05,24.69,33.16,7.0,8.51,0.35,72.79,41,一级
吉林省,2014-06,25.64,34.24,6.69,9.1,0.33,80.37,44,一级
吉林省,2014-07,34.29,45.21,7.93,7.65,0.42,86.22,52,二级
吉林省,2014-08,28.73,39.29,7.83,7.76,0.37,80.56,47,一级
吉林省,2014-09,18.3,26.4,6.59,8.37,0.31,64.76,34,一级
吉林省,2014-10,53.57,68.97,11.69,18.01,0.55,56.23,74,二级
吉林省,2014-11,51.65,70.59,19.31,19.81,0.7,41.08,72,二级
吉林省,2014-12,42.81,56.98,22.43,20.79,0.82,38.91,62,二级
四川省,2014-01,50.62,66.53,12.33,12.69,0.74,60.99,71,二级
四川省,2014-02,39.63,49.7,10.6,9.04,0.63,61.63,56,二级
四川省,2014-03,31.78,43.74,9.8,8.63,0.44,73.19,47,一级
四川省,2014-04,30.03,39.66,8.65,6.68,0.4,82.66,46,一级
四川省,2014-05,35.4,46.66,6.92,6.15,0.37,82.97,52,二级
四川省,2014-06,34.68,42.38,9.45,5.79,0.38,79.17,50,一级
四川省,2014-07,30.5,39.18,8.91,6.11,0.38,79.1,46,一级
四川省,2014-08,33.67,41.5,9.55,5.9,0.39,76.47,49,一级
四川省,2014-09,27.39,35.2,8.47,6.59,0.4,72.04,41,一级
四川省,2014-10,28.36,37.96,8.63,8.12,0.43,68.2,43,一级
四川省,2014-11,22.22,31.49,8.1,9.73,0.48,56.03,35,一级
四川省,2014-12,30.17,44.04,9.43,12.75,0.64,52.61,46,一级
天津市,2014-01,113.26,163.54,83.79,65.05,2.26,17.75,149,三级
天津市,2014-02,111.11,143.26,71.59,55.36,2.04,29.98,145,三级
天津市,2014-03,100.94,150.98,49.56,61.08,1.74,41.71,137,三级
天津市,2014-04,78.34,135.44,30.02,47.28,1.23,65.01,112,三级
天津市,2014-05,63.11,114.24,24.54,39.15,1.12,81.06,93,二级
天津市,2014-06,56.25,81.81,17.56,31.41,1.09,92.63,79,二级
天津市,2014-07,72.08,103.33,18.48,31.37,1.18,98.95,101,三级
天津市,2014-08,55.07,89.88,16.92,32.68,1.11,80.91,78,二级
天津市,2014-09,54.13,81.44,18.1,33.51,1.09,51.74,77,二级
天津市,2014-10,98.52,140.14,21.3,52.71,1.16,31.36,133,三级
天津市,2014-11,102.12,140.37,38.11,64.02,1.66,22.3,136,三级
天津市,2014-12,92.66,136.28,51.68,57.92,1.86,22.08,127,三级
宁夏回族自治区,2014-01,38.14,56.07,44.2,21.38,0.94,41.92,57,二级
宁夏回族自治区,2014-02,61.09,81.17,38.3,17.56,0.81,45.6,86,二级
宁夏回族自治区,2014-03,38.71,66.6,28.81,13.71,0.63,58.93,61,二级
宁夏回族自治区,2014-04,43.65,66.15,16.02,9.28,0.43,71.74,64,二级
宁夏回族自治区,2014-05,40.91,61.33,9.63,9.9,0.35,83.83,61,二级
宁夏回族自治区,2014-06,31.2,41.38,13.05,9.99,0.42,87.04,49,一级
宁夏回族自治区,2014-07,28.69,42.02,11.1,8.1,0.4,85.86,48,一级
宁夏回族自治区,2014-08,35.93,47.19,14.52,9.35,0.39,76.8,53,二级
宁夏回族自治区,2014-09,38.24,51.43,16.21,11.18,0.44,64.86,55,二级
宁夏回族自治区,2014-10,35.2,49.98,15.58,15.38,0.47,57.42,53,二级
宁夏回族自治区,2014-11,47.64,72.54,35.11,24.86,0.87,41.2,69,二级
宁夏回族自治区,2014-12,35.34,70.86,36.93,21.15,0.96,39.46,62,二级
安徽省,2014-01,115.38,141.59,29.56,35.62,1.27,31.48,151,四级
安徽省,2014-02,69.5,78.89,19.37,20.95,1.01,39.8,94,二级
安徽省,2014-03,61.17,88.14,20.25,22.63,0.82,52.41,84,二级
安徽省,2014-04,52.92,73.54,16.1,20.33,0.7,57.72,74,二级
安徽省,2014-05,59.75,98.7,15.8,17.36,0.65,71.01,84,二级
安徽省,2014-06,65.08,80.44,15.82,15.59,0.72,83.61,89,二级
安徽省,2014-07,43.73,58.31,13.06,14.53,0.6,67.68,62,二级
安徽省,2014-08,44.26,60.73,14.72,15.46,0.72,59.51,62,二级
安徽省,2014-09,44.78,64.43,16.55,18.5,0.88,56.49,64,二级
安徽省,2014-10,57.46,85.72,17.43,25.24,0.88,59.26,79,二级
