province,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
上海市,2018-01,58.88,77.04,12.63,49.85,0.91,41.06,88,二级
上海市,2018-02,45.48,67.32,12.08,38.12,0.76,61.9,69,二级
上海市,2018-03,37.66,54.41,9.98,37.99,0.62,69.89,60,二级
上海市,2018-04,38.6,72.56,11.41,38.45,0.59,85.31,66,二级
上海市,2018-05,39.01,58.45,10.25,31.9,0.6,90.6,63,二级
上海市,2018-06,29.91,41.8,8.18,24.95,0.49,97.46,55,二级
上海市,2018-07,17.58,31.18,6.12,18.56,0.39,55.56,34,一级
上海市,2018-08,14.81,27.74,5.32,16.94,0.43,65.15,35,一级
上海市,2018-09,23.56,37.72,7.37,29.29,0.58,75.73,48,一级
上海市,2018-10,26.46,45.4,8.4,35.17,0.53,72.28,53,二级
上海市,2018-11,40.01,55.75,8.54,43.95,0.66,50.4,64,二级
上海市,2018-12,39.91,58.39,13.73,44.74,0.7,34.55,64,二级
云南省,2018-01,24.0,36.16,7.37,9.05,0.61,58.89,38,一级
云南省,2018-02,30.31,43.67,6.92,7.69,0.63,71.92,47,一级
云南省,2018-03,38.2,57.62,7.01,9.26,0.67,90.01,56,二级
云南省,2018-04,32.46,51.21,6.66,7.4,0.54,90.94,51,二级
云南省,2018-05,21.34,32.89,5.44,5.37,0.39,74.79,39,一级
云南省,2018-06,14.99,24.32,5.21,4.89,0.35,57.21,30,一级
云南省,2018-07,14.21,21.66,5.11,5.0,0.35,52.97,28,一级
云南省,2018-08,21.69,33.45,7.91,5.68,0.45,61.33,35,一级
云南省,2018-09,18.93,29.67,7.99,5.05,0.41,51.68,31,一级
云南省,2018-10,20.4,31.64,8.81,5.39,0.43,55.86,33,一级
云南省,2018-11,20.15,29.33,8.09,7.08,0.44,58.25,32,一级
云南省,2018-12,19.73,29.4,8.38,7.44,0.48,52.31,33,一级
内蒙古自治区,2018-01,9.51,15.08,6.12,6.1,0.33,49.34,27,一级
内蒙古自治区,2018-02,8.69,13.5,5.39,4.74,0.3,54.71,29,一级
内蒙古自治区,2018-03,20.3,32.92,6.76,5.96,0.31,60.91,38,一级
内蒙古自治区,2018-04,25.4,36.04,3.83,3.93,0.22,72.0,46,一级
内蒙古自治区,2018-05,33.75,42.02,3.94,3.62,0.21,78.21,53,二级
内蒙古自治区,2018-06,25.07,30.93,4.25,3.46,0.23,79.46,44,一级
内蒙古自治区,2018-07,23.19,28.85,6.31,3.81,0.26,82.16,42,一级
内蒙古自治区,2018-08,18.97,24.17,5.5,3.79,0.25,73.34,38,一级
内蒙古自治区,2018-09,17.71,21.91,5.29,4.13,0.24,63.91,35,一级
内蒙古自治区,2018-10,17.15,21.82,5.66,5.17,0.26,58.04,37,一级
内蒙古自治区,2018-11,13.38,20.74,6.9,7.21,0.29,49.93,30,一级
内蒙古自治区,2018-12,9.33,15.49,6.79,6.34,0.3,46.31,26,一级
北京市,2018-01,27.83,48.35,8.22,29.77,0.71,39.62,50,一级
北京市,2018-02,38.03,58.0,8.9,23.57,0.72,53.65,61,二级
北京市,2018-03,67.61,104.59,10.41,40.8,0.87,57.37,97,二级
北京市,2018-04,46.87,86.05,7.64,26.24,0.6,82.03,76,二级
北京市,2018-05,49.38,86.34,6.66,23.94,0.57,94.02,78,二级
北京市,2018-06,39.99,62.94,6.15,20.99,0.59,120.69,75,二级
北京市,2018-07,42.45,57.09,4.71,16.63,0.71,97.76,65,二级
北京市,2018-08,31.58,49.38,4.56,17.19,0.65,93.23,55,二级
北京市,2018-09,26.02,41.91,5.33,21.2,0.46,61.7,46,一级
北京市,2018-10,34.48,50.04,5.31,28.66,0.52,49.0,56,二级
北京市,2018-11,55.08,86.21,8.11,42.64,0.82,25.62,83,二级
北京市,2018-12,36.6,62.34,10.43,32.18,0.7,30.95,60,二级
台湾省,2018-01,20.29,25.71,6.05,16.45,0.29,53.6,36,一级
台湾省,2018-02,22.14,27.17,6.43,15.42,0.27,62.38,37,一级
台湾省,2018-03,19.29,23.73,5.99,15.2,0.23,73.33,38,一级
台湾省,2018-04,22.43,26.46,6.28,15.96,0.2,72.8,39,一级
台湾省,2018-05,20.61,24.15,5.92,16.55,0.16,67.62,36,一级
台湾省,2018-06,15.81,19.28,5.45,14.91,0.15,57.07,31,一级
台湾省,2018-07,11.18,14.06,5.04,15.2,0.13,45.31,24,一级
