province,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
上海市,2013-01,91.41,98.78,33.64,59.37,1.5,31.4,123,三级
上海市,2013-02,53.87,61.07,16.78,32.82,0.83,55.94,75,二级
上海市,2013-03,57.27,83.61,21.54,48.04,0.8,60.49,82,二级
上海市,2013-04,55.91,80.11,22.91,44.49,0.79,78.76,79,二级
上海市,2013-05,52.99,62.32,14.46,33.2,0.69,82.04,74,二级
上海市,2013-06,46.2,50.4,10.93,30.26,0.65,70.71,66,二级
上海市,2013-07,35.65,56.7,14.51,28.36,0.57,80.88,56,二级
上海市,2013-08,29.25,45.72,11.95,23.1,0.59,71.61,47,一级
上海市,2013-09,27.8,41.19,13.33,28.64,0.58,65.84,47,一级
上海市,2013-10,35.28,54.92,18.21,32.32,0.67,64.9,56,二级
上海市,2013-11,75.46,114.97,33.92,56.6,1.02,42.85,105,三级
上海市,2013-12,123.95,150.66,48.35,68.78,1.44,26.45,159,四级
云南省,2013-01,36.77,43.49,11.13,5.77,0.51,67.26,53,二级
云南省,2013-02,27.67,32.61,7.3,4.6,0.36,77.36,44,一级
云南省,2013-03,42.91,52.5,8.65,4.94,0.48,98.66,62,二级
云南省,2013-04,30.67,36.26,7.34,4.77,0.36,91.81,50,一级
云南省,2013-05,23.52,26.88,6.71,3.96,0.27,72.98,39,一级
云南省,2013-06,20.58,23.22,6.18,4.23,0.23,68.35,36,一级
云南省,2013-07,14.69,16.73,4.69,3.8,0.2,51.07,27,一级
云南省,2013-08,23.22,26.1,7.64,4.42,0.23,61.6,36,一级
云南省,2013-09,35.35,40.29,11.57,5.48,0.34,70.73,51,二级
云南省,2013-10,32.49,38.07,13.28,5.51,0.49,72.28,48,一级
云南省,2013-11,28.59,34.78,12.73,6.32,0.56,60.67,42,一级
云南省,2013-12,37.22,45.62,15.27,7.12,0.7,62.1,54,二级
内蒙古自治区,2013-01,15.28,20.03,14.61,6.96,0.41,45.18,28,一级
内蒙古自治区,2013-02,10.17,13.94,9.56,4.76,0.32,52.07,29,一级
内蒙古自治区,2013-03,14.18,19.28,6.97,3.91,0.24,61.2,33,一级
内蒙古自治区,2013-04,21.76,26.08,4.12,2.92,0.22,70.03,41,一级
内蒙古自治区,2013-05,37.46,42.06,5.32,3.11,0.24,72.08,55,二级
内蒙古自治区,2013-06,28.16,31.7,6.44,3.47,0.28,75.99,45,一级
内蒙古自治区,2013-07,23.54,26.73,5.81,3.7,0.19,73.25,39,一级
内蒙古自治区,2013-08,19.87,22.92,5.56,3.62,0.21,66.16,36,一级
内蒙古自治区,2013-09,22.1,26.17,6.43,4.58,0.24,62.64,39,一级
内蒙古自治区,2013-10,22.35,27.97,8.74,6.23,0.28,52.89,37,一级
内蒙古自治区,2013-11,10.87,16.08,8.78,5.19,0.31,51.44,29,一级
